Date;Open;High;Low;Close;Adj Close;Volume
2010-10-08;18855.533203125;19298.447265625;18792.259765625;19235.173828125;19235.173828125;296
2010-10-11;19298.447265625;19804.63671875;19108.626953125;19741.36328125;19741.36328125;121
2010-10-13;19804.63671875;20817.013671875;19804.63671875;20563.919921875;20563.919921875;354
2010-10-14;20690.466796875;21133.3828125;19298.447265625;20374.099609375;20374.099609375;294
2010-10-15;20437.373046875;20437.373046875;19804.63671875;20247.55078125;20247.55078125;54
2010-10-18;20310.826171875;20563.919921875;19994.45703125;20057.73046875;20057.73046875;94
2010-10-19;19867.91015625;19931.18359375;19235.173828125;19488.267578125;19488.267578125;119
2010-10-20;19614.81640625;19741.36328125;19235.173828125;19361.720703125;19361.720703125;165
2010-10-21;19488.267578125;20057.73046875;19235.173828125;19678.08984375;19678.08984375;164
2010-10-22;19488.267578125;20437.373046875;19488.267578125;20247.55078125;20247.55078125;160
2010-10-25;20437.373046875;20817.013671875;20057.73046875;20753.740234375;20753.740234375;90
2010-10-26;20563.919921875;21449.75;20247.55078125;21196.65625;21196.65625;295
2010-10-27;21196.65625;21323.203125;20437.373046875;20817.013671875;20817.013671875;128
2010-10-28;21070.109375;21070.109375;20310.826171875;20310.826171875;20310.826171875;97
2010-10-29;20374.099609375;20943.560546875;20247.55078125;20880.287109375;20880.287109375;169
2010-11-01;20627.193359375;20880.287109375;20627.193359375;20880.287109375;20880.287109375;32
2010-11-03;20690.466796875;21639.5703125;20690.466796875;21639.5703125;21639.5703125;253
2010-11-04;21892.666015625;22588.673828125;21702.84375;22525.400390625;22525.400390625;379
2010-11-05;22651.94921875;23347.95703125;22145.759765625;22145.759765625;22145.759765625;166
2010-11-08;22209.033203125;22588.673828125;21702.84375;22398.853515625;22398.853515625;119
2010-11-09;22462.126953125;22462.126953125;22145.759765625;22272.306640625;22272.306640625;141
2010-11-10;22082.486328125;22335.580078125;20563.919921875;21513.0234375;21513.0234375;146
2010-11-11;21892.666015625;21892.666015625;20880.287109375;21449.75;21449.75;74
2010-11-12;21386.4765625;21386.4765625;20817.013671875;21006.833984375;21006.833984375;64
2010-11-16;21133.3828125;21133.3828125;20057.73046875;20310.826171875;20310.826171875;91
2010-11-17;20247.55078125;21196.65625;20247.55078125;21196.65625;21196.65625;89
2010-11-18;21196.65625;21955.939453125;21133.3828125;21955.939453125;21955.939453125;106
2010-11-19;21829.390625;22335.580078125;21576.296875;22335.580078125;22335.580078125;66
2010-11-22;22335.580078125;22335.580078125;21133.3828125;21196.65625;21196.65625;95
2010-11-23;20880.287109375;21323.203125;20500.646484375;21196.65625;21196.65625;98
2010-11-24;21639.5703125;21829.390625;20880.287109375;21323.203125;21323.203125;234
2010-11-25;21133.3828125;21449.75;20753.740234375;20943.560546875;20943.560546875;48
2010-11-26;20690.466796875;20753.740234375;20247.55078125;20563.919921875;20563.919921875;166
2010-11-29;20690.466796875;21196.65625;20247.55078125;20880.287109375;20880.287109375;401
2010-11-30;20817.013671875;21070.109375;20500.646484375;20690.466796875;20690.466796875;114
2010-12-01;21323.203125;21323.203125;20817.013671875;21196.65625;21196.65625;165
2010-12-02;21006.833984375;21323.203125;20880.287109375;21133.3828125;21133.3828125;108
2010-12-03;21323.203125;21323.203125;20817.013671875;21070.109375;21070.109375;56
2010-12-06;21070.109375;21070.109375;20563.919921875;20563.919921875;20563.919921875;109
2010-12-07;21070.109375;21133.3828125;20753.740234375;20817.013671875;20817.013671875;61
2010-12-08;20880.287109375;20880.287109375;19804.63671875;20121.00390625;20121.00390625;159
2010-12-09;20121.00390625;20247.55078125;19804.63671875;20247.55078125;20247.55078125;708
2010-12-10;20247.55078125;20563.919921875;19867.91015625;20500.646484375;20500.646484375;538
2010-12-13;20247.55078125;20753.740234375;20184.27734375;20310.826171875;20310.826171875;61
2010-12-14;20500.646484375;20500.646484375;20057.73046875;20437.373046875;20437.373046875;52
2010-12-15;20247.55078125;20437.373046875;20121.00390625;20184.27734375;20184.27734375;840
2010-12-16;20247.55078125;20500.646484375;19298.447265625;19994.45703125;19994.45703125;353
2010-12-17;20121.00390625;20121.00390625;19614.81640625;19931.18359375;19931.18359375;90
2010-12-20;19614.81640625;20374.099609375;19614.81640625;20247.55078125;20247.55078125;72
2010-12-21;19931.18359375;21196.65625;19931.18359375;20753.740234375;20753.740234375;146
2010-12-22;20880.287109375;20880.287109375;20247.55078125;20817.013671875;20817.013671875;101
2010-12-23;20563.919921875;21133.3828125;20437.373046875;21133.3828125;21133.3828125;151
2010-12-27;20943.560546875;21386.4765625;20627.193359375;21196.65625;21196.65625;82
2010-12-28;21323.203125;21513.0234375;20880.287109375;21513.0234375;21513.0234375;63
2010-12-29;21323.203125;21955.939453125;21196.65625;21955.939453125;21955.939453125;125
2010-12-30;21576.296875;22082.486328125;21449.75;21829.390625;21829.390625;163
2011-01-03;21829.390625;22082.486328125;21386.4765625;21702.84375;21702.84375;41
2011-01-04;21513.0234375;21829.390625;21386.4765625;21513.0234375;21513.0234375;41
2011-01-05;21386.4765625;21639.5703125;21386.4765625;21386.4765625;21386.4765625;16
2011-01-06;21513.0234375;21639.5703125;21259.9296875;21386.4765625;21386.4765625;46
2011-01-07;21576.296875;21576.296875;21196.65625;21513.0234375;21513.0234375;29
2011-01-10;21513.0234375;21576.296875;21196.65625;21259.9296875;21259.9296875;44
2011-01-11;21639.5703125;21766.1171875;21386.4765625;21576.296875;21576.296875;197
2011-01-12;21639.5703125;21639.5703125;21449.75;21639.5703125;21639.5703125;43
2011-01-13;21576.296875;21766.1171875;21323.203125;21386.4765625;21386.4765625;91
2011-01-14;21513.0234375;21576.296875;21386.4765625;21513.0234375;21513.0234375;83
2011-01-17;21513.0234375;21639.5703125;21449.75;21639.5703125;21639.5703125;78
2011-01-18;21639.5703125;21639.5703125;21386.4765625;21576.296875;21576.296875;67
2011-01-19;21576.296875;21639.5703125;21323.203125;21386.4765625;21386.4765625;42
2011-01-20;21576.296875;21639.5703125;21259.9296875;21386.4765625;21386.4765625;167
2011-01-21;21576.296875;21639.5703125;21386.4765625;21449.75;21449.75;74
2011-01-24;21513.0234375;21829.390625;21386.4765625;21513.0234375;21513.0234375;622
2011-01-26;21386.4765625;22398.853515625;21070.109375;21386.4765625;21386.4765625;134
2011-01-27;20880.287109375;21576.296875;20817.013671875;20943.560546875;20943.560546875;222
2011-01-28;21386.4765625;21513.0234375;20627.193359375;20627.193359375;20627.193359375;105
2011-01-31;20627.193359375;21070.109375;20437.373046875;20437.373046875;20437.373046875;154
2011-02-01;20563.919921875;21639.5703125;20437.373046875;20500.646484375;20500.646484375;0
2011-02-02;21006.833984375;21006.833984375;20563.919921875;20753.740234375;20753.740234375;66
2011-02-03;20374.099609375;20817.013671875;20374.099609375;20817.013671875;20817.013671875;0
2011-02-04;20817.013671875;20880.287109375;20374.099609375;20374.099609375;20374.099609375;122
2011-02-07;20500.646484375;20500.646484375;20184.27734375;20184.27734375;20184.27734375;87
2011-02-08;20184.27734375;20310.826171875;20184.27734375;20310.826171875;20310.826171875;0
2011-02-09;20690.466796875;20690.466796875;20121.00390625;20121.00390625;20121.00390625;127
2011-02-10;20057.73046875;20500.646484375;20057.73046875;20184.27734375;20184.27734375;143
2011-02-11;20121.00390625;20627.193359375;20057.73046875;20184.27734375;20184.27734375;101
2011-02-14;20247.55078125;20563.919921875;20057.73046875;20437.373046875;20437.373046875;30
2011-02-15;20247.55078125;20500.646484375;20184.27734375;20247.55078125;20247.55078125;26
2011-02-16;20627.193359375;20753.740234375;20437.373046875;20690.466796875;20690.466796875;31
2011-02-17;20563.919921875;20753.740234375;20437.373046875;20500.646484375;20500.646484375;170
2011-02-18;20753.740234375;20753.740234375;20184.27734375;20437.373046875;20437.373046875;110
2011-02-21;20184.27734375;20247.55078125;19867.91015625;19867.91015625;19867.91015625;87
2011-02-22;19804.63671875;19931.18359375;19488.267578125;19551.54296875;19551.54296875;227
2011-02-23;19361.720703125;19741.36328125;19361.720703125;19488.267578125;19488.267578125;68
2011-02-24;19488.267578125;19488.267578125;19488.267578125;19488.267578125;19488.267578125;0
2011-02-25;19614.81640625;19804.63671875;19424.994140625;19488.267578125;19488.267578125;41
2011-02-28;19551.54296875;19551.54296875;18728.984375;19361.720703125;19361.720703125;69
2011-03-01;19235.173828125;19488.267578125;18982.080078125;19235.173828125;19235.173828125;54
2011-03-02;18982.080078125;19488.267578125;18982.080078125;19298.447265625;19298.447265625;347
2011-03-03;19424.994140625;19867.91015625;19424.994140625;19614.81640625;19614.81640625;360
2011-03-04;19741.36328125;20184.27734375;19551.54296875;19614.81640625;19614.81640625;68
2011-03-09;19614.81640625;19614.81640625;19614.81640625;19614.81640625;19614.81640625;0
2011-03-10;19361.720703125;19867.91015625;19045.353515625;19741.36328125;19741.36328125;48
2011-03-11;19614.81640625;19994.45703125;19424.994140625;19741.36328125;19741.36328125;229
2011-03-14;19741.36328125;20374.099609375;19741.36328125;20374.099609375;20374.099609375;46
2011-03-15;19931.18359375;20943.560546875;19614.81640625;20690.466796875;20690.466796875;115
2011-03-16;20753.740234375;21259.9296875;20310.826171875;20310.826171875;20310.826171875;80
2011-03-17;20437.373046875;20753.740234375;19867.91015625;19931.18359375;19931.18359375;55
2011-03-18;20247.55078125;20500.646484375;20057.73046875;20310.826171875;20310.826171875;35
2011-03-21;20247.55078125;20247.55078125;19931.18359375;19931.18359375;19931.18359375;0
2011-03-22;20184.27734375;20184.27734375;19867.91015625;19931.18359375;19931.18359375;30
2011-03-23;20247.55078125;20247.55078125;19678.08984375;19741.36328125;19741.36328125;20
2011-03-24;19741.36328125;19741.36328125;19614.81640625;19614.81640625;19614.81640625;0
2011-03-25;19361.720703125;20057.73046875;19361.720703125;19994.45703125;19994.45703125;17
2011-03-28;19804.63671875;20437.373046875;19614.81640625;19867.91015625;19867.91015625;111
2011-03-29;19804.63671875;20121.00390625;19678.08984375;19867.91015625;19867.91015625;38
2011-03-30;19678.08984375;19867.91015625;19424.994140625;19424.994140625;19424.994140625;38
2011-03-31;19614.81640625;19804.63671875;19298.447265625;19614.81640625;19614.81640625;43
2011-04-01;19614.81640625;19804.63671875;19361.720703125;19361.720703125;19361.720703125;249
2011-04-04;19488.267578125;19614.81640625;19298.447265625;19424.994140625;19424.994140625;273
2011-04-05;19424.994140625;19424.994140625;19424.994140625;19424.994140625;19424.994140625;0
2011-04-06;19424.994140625;19614.81640625;19045.353515625;19045.353515625;19045.353515625;96
2011-04-07;19045.353515625;19361.720703125;18982.080078125;19108.626953125;19108.626953125;96
2011-04-08;19235.173828125;19235.173828125;18982.080078125;19045.353515625;19045.353515625;78
2011-04-11;19108.626953125;19424.994140625;19108.626953125;19108.626953125;19108.626953125;127
2011-04-12;19235.173828125;19235.173828125;18855.533203125;18982.080078125;18982.080078125;46
2011-04-13;19045.353515625;19108.626953125;18728.984375;18855.533203125;18855.533203125;84
2011-04-14;18918.806640625;18918.806640625;18475.890625;18539.1640625;18539.1640625;47
