;Acao;Data;Hora;Descrição;Link
47;VALE3;12/09/2022;18:57;Vale apresenta iniciativas para alavancar o potencial do negócio de Metais Básicos e atualiza estimativas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1015079&descTipo=IPE&CodigoInstituicao=1
48;VALE3;07/09/2022;15:01;Vale apresenta iniciativas para alavancar o potencial do negócio de Metais Básicos e atualiza estimativas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1013644&descTipo=IPE&CodigoInstituicao=1
49;VALE3;15/08/2022;10:14;Vale informa sobre decisão em processo administrativo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1007945&descTipo=IPE&CodigoInstituicao=1
50;VALE3;28/07/2022;18:11;Vale anuncia distribuição de remuneração aos acionistas e cancelamento de ações em tesouraria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1001242&descTipo=IPE&CodigoInstituicao=1
51;VALE3;28/07/2022;07:11;Vale assina acordo vinculante para venda da participação na CSP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1000971&descTipo=IPE&CodigoInstituicao=1
52;VALE3;19/07/2022;18:13;Relatório de Produção e Vendas da Vale no 2T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998955&descTipo=IPE&CodigoInstituicao=1
53;VALE3;19/07/2022;18:13;Vale informa sobre atualização de projeções;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998959&descTipo=IPE&CodigoInstituicao=1
54;VALE3;15/07/2022;17:47;Vale conclui a venda de seus ativos do Sistema Centro-Oeste;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998369&descTipo=IPE&CodigoInstituicao=1
55;VALE3;13/07/2022;07:51;Início da construção do Projeto Zhongzhai Pré-blending na China;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997739&descTipo=IPE&CodigoInstituicao=1
56;VALE3;08/07/2022;23:21;Vale esclarece notícia sobre compromisso de neutralizar valores repassados à UHE Risoleta Neves;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=996997&descTipo=IPE&CodigoInstituicao=1
57;VALE3;07/07/2022;11:25;Datas de divulgação do desempenho do 2T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=996124&descTipo=IPE&CodigoInstituicao=1
58;VALE3;09/06/2022;23:25;Vale comunica o encerramento e os resultados de ofertas de aquisição de bonds com vencimento 2026, 2034, 2032, 2039, 2036 e 2042;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989564&descTipo=IPE&CodigoInstituicao=1
59;VALE3;09/06/2022;15:10;Vale comunica precificação de oferta de aquisição de bonds com vencimento 2026, 2034, 2032, 2039, 2036 e 2042;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989282&descTipo=IPE&CodigoInstituicao=1
60;VALE3;09/06/2022;09:18;Vale avança projeto de sulfato de níquel no Canadá;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989181&descTipo=IPE&CodigoInstituicao=1
61;VALE3;03/06/2022;09:56;Vale comunica oferta de aquisição de até US$1 bilhão de bonds com vencimento 2026, 2034, 2032, 2039, 2036 e 2042;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=987490&descTipo=IPE&CodigoInstituicao=1
62;VALE3;02/06/2022;20:11;Vale informa sobre composição do Comitê de Auditoria ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=987385&descTipo=IPE&CodigoInstituicao=1
63;VALE3;26/05/2022;20:37;Vale instala Comitê de Nomeação para a Assembleia Geral Ordinária 2023;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=985316&descTipo=IPE&CodigoInstituicao=1
64;VALE3;17/05/2022;09:06;Vale recebe certificação de terceiros para mais produtos de níquel de baixo carbono;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=982508&descTipo=IPE&CodigoInstituicao=1
65;VALE3;16/05/2022;19:43;Vale conclui programa de recompra de ações lançado em outubro de 2021 e inicia novo programa de recompra ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=982242&descTipo=IPE&CodigoInstituicao=1
66;VALE3;06/05/2022;20:05;Vale confirma acordo com a Tesla para fornecimento de níquel de baixo carbono;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=977754&descTipo=IPE&CodigoInstituicao=1
67;VALE3;28/04/2022;12:41;Vale informa sobre Comissão de Valores Mobiliários dos Estados Unidos (?SEC?);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=972144&descTipo=IPE&CodigoInstituicao=1
68;VALE3;27/04/2022;18:40;Modificação de Projeções Divulgadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=971566&descTipo=IPE&CodigoInstituicao=1
69;VALE3;27/04/2022;18:07;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=971488&descTipo=IPE&CodigoInstituicao=1
70;VALE3;26/04/2022;08:34;Vale e Nippon Steel assinam Memorando de Entendimento para desenvolver soluções de descarbonização para a siderurgia ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=970320&descTipo=IPE&CodigoInstituicao=1
71;VALE3;25/04/2022;17:43;Vale conclui a venda de seus ativos de carvão;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=970007&descTipo=IPE&CodigoInstituicao=1
72;VALE3;19/04/2022;18:32;Relatório Produção e Vendas da Vale no 1T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=968439&descTipo=IPE&CodigoInstituicao=1
73;VALE3;14/04/2022;21:23;Vale arquiva relatório anual Form 20-F de 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967680&descTipo=IPE&CodigoInstituicao=1
74;VALE3;07/04/2022;14:40;Datas de divulgação do desempenho do 1T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=964888&descTipo=IPE&CodigoInstituicao=1
75;VALE3;06/04/2022;10:04;Vale anuncia a venda de seus ativos do Sistema Centro-Oeste;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=964372&descTipo=IPE&CodigoInstituicao=1
76;VALE3;06/04/2022;09:53;Vale anuncia a venda de seus ativos do Sistema Centro-Oeste;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=964368&descTipo=IPE&CodigoInstituicao=1
77;VALE3;05/04/2022;18:07;Vale inicia obras da planta Tecnored em Marabá;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=964059&descTipo=IPE&CodigoInstituicao=1
78;VALE3;01/04/2022;19:20;Vale informa sobre potencial desinvestimento do Sistema Centro-Oeste ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=963098&descTipo=IPE&CodigoInstituicao=1
79;VALE3;30/03/2022;22:58;Relatório sobre debêntures participativas 2S21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=961660&descTipo=IPE&CodigoInstituicao=1
80;VALE3;30/03/2022;07:34;Divulgação de informação material em relação à recuperação judicial da Samarco;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=960935&descTipo=IPE&CodigoInstituicao=1
81;VALE3;22/03/2022;10:33;Vale fornecerá à Northvolt produtos de baixo carbono de níquel para baterias;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=956705&descTipo=IPE&CodigoInstituicao=1
82;VALE3;07/03/2022;18:33;Incidente com parada temporária de operações da Estrada de Ferro Carajás;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=950883&descTipo=IPE&CodigoInstituicao=1
83;VALE3;25/02/2022;20:14;Vale assina Termo de Compromisso firmando prazo para eliminar suas barragens a montante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=948121&descTipo=IPE&CodigoInstituicao=1
84;VALE3;24/02/2022;19:50;Vale anuncia distribuição de remuneração aos acionistas e cancelamento de ações em tesouraria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=947403&descTipo=IPE&CodigoInstituicao=1
85;VALE3;24/02/2022;19:39;Modificação de Projeções Divulgadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=947386&descTipo=IPE&CodigoInstituicao=1
86;VALE3;24/02/2022;19:28;Vale anuncia distribuição de remuneração aos acionistas e cancelamento de ações em tesouraria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=947374&descTipo=IPE&CodigoInstituicao=1
87;VALE3;23/02/2022;07:10;Vale e Valin Group assinam Memorando de Entendimento para desenvolver soluções de descarbonização para a siderurgia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=946362&descTipo=IPE&CodigoInstituicao=1
88;VALE3;22/02/2022;14:18;Mina de Totten retoma operações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=945963&descTipo=IPE&CodigoInstituicao=1
89;VALE3;22/02/2022;12:17;Vale esclarece notícia sobre a Companhia Siderúrgica do Pecém (CSP);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=945912&descTipo=IPE&CodigoInstituicao=1
90;VALE3;10/02/2022;18:25;Produção e Vendas da Vale no 4T21 e 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=941400&descTipo=IPE&CodigoInstituicao=1
91;VALE3;01/02/2022;18:05;Vale conclui a venda e transferência da sua participação de 50% na California Steel Industries;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=937356&descTipo=IPE&CodigoInstituicao=1
92;VALE3;31/01/2022;19:21;Datas de divulgação do desempenho do 4T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=936940&descTipo=IPE&CodigoInstituicao=1
93;VALE3;27/01/2022;23:08;Vale informa sobre instalação do Comitê de Nomeação para Assembleia de 2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=936088&descTipo=IPE&CodigoInstituicao=1
94;VALE3;17/01/2022;07:12;Vale atualiza sobre operações e estruturas em Minas Gerais;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=933883&descTipo=IPE&CodigoInstituicao=1
95;VALE3;10/01/2022;07:05;Vale informa sobre impacto de chuvas em Minas Gerais;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=931979&descTipo=IPE&CodigoInstituicao=1
96;VALE3;27/12/2021;20:16;Divulgação de informação material em relação à recuperação judicial da Samarco;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=929122&descTipo=IPE&CodigoInstituicao=1
97;VALE3;21/12/2021;09:41;Vale anuncia a venda de seus ativos de carvão;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=927769&descTipo=IPE&CodigoInstituicao=1
98;VALE3;17/12/2021;18:58;Vale anuncia nova Vice-Presidente Executiva para o negócio de Metais Básicos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=927084&descTipo=IPE&CodigoInstituicao=1
99;VALE3;13/12/2021;09:44;Vale anuncia a venda da sua participação na California Steel Industries;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=925348&descTipo=IPE&CodigoInstituicao=1
