;Papel;Total_Acumulado
221;HOOT4;38.68
222;HYPE3;13.52
223;IFCM3;55.45
224;IGBR3;0.0
225;INEP3;7.88
226;INEP4;3.5
227;INTB3;-7.84
228;IRBR3;38.46
229;ITSA3;9.63
230;ITSA4;9.22
231;ITUB3;10.67
232;ITUB4;7.93
233;JALL3;-7.21
234;JBSS3;14.15
235;JHSF3;18.85
236;JOPA3;-0.58
237;JOPA4;-1.2
238;JSLG3;14.45
239;KEPL3;14.89
240;KLBN11;2.87
241;KLBN3;2.68
242;KLBN4;3.53
243;KRSA3;13.41
244;LAVV3;16.3
245;LEVE3;15.56
246;LIGT3;61.99
247;LIPR3;1.11
248;LJQQ3;29.68
249;LOGG3;15.89
250;LOGN3;3.33
251;LPSB3;24.08
252;LREN3;6.77
253;LUPA3;5.93
254;LUXM4;6.85
255;LVTC3;17.78
256;LWSA3;10.13
257;MAPT4;0.0
258;MATD3;9.67
259;MBLY3;56.33
260;MDIA3;10.23
261;MDNE3;47.68
262;MEAL3;26.42
263;MELK3;9.75
264;MERC3;99801.23
265;MERC4;-6.83
266;MGEL4;27.57
267;MGLU3;-15.39
268;MILS3;13.54
269;MLAS3;26.43
270;MNDL3;-0.68
271;MNPR3;23.29
272;MOAR3;13.58
273;MOVI3;9.25
274;MRFG3;16.2
275;MRSA3B;0.0
276;MRSA5B;0.0
277;MRVE3;29.98
278;MSPA3;0.0
279;MTRE3;39.66
280;MTSA4;16.91
281;MULT3;3.9
282;MWET3;0.0
283;MWET4;8.43
284;MYPK3;-1.59
285;NEOE3;32.43
286;NGRD3;27.11
287;NINJ3;20.1
288;NORD3;-1.25
289;NTCO3;22.17
290;NUTR3;-4.23
291;ODPV3;10.83
292;OFSA3;1.64
293;OIBR3;2.36
294;OIBR4;-3.85
295;ONCO3;-1.05
296;OPCT3;21.06
297;ORVR3;9.29
298;OSXB3;16.13
299;PARD3;0.0
300;PATI3;-21.09
301;PATI4;-12.36
302;PCAR3;33.21
303;PDGR3;13.71
304;PDTC3;-0.86
305;PEAB3;8.29
306;PEAB4;6.08
307;PETR3;17.88
308;PETR4;18.04
309;PETZ3;-2.1
310;PFRM3;16.62
311;PGMN3;30.92
312;PINE4;14.5
313;PLAS3;5.03
314;PLPL3;34.0
315;PMAM3;4.57
316;PNVL3;13.05
317;POMO3;16.48
318;POMO4;10.79
319;PORT3;22.37
320;POSI3;31.09
321;PRIO3;10.76
322;PRNR3;18.1
323;PSSA3;25.53
324;PTBL3;19.7
325;PTNT3;10.94
326;PTNT4;6.9
327;QUAL3;5.93
328;RADL3;1.52
329;RAIL3;8.41
330;RAIZ4;20.38
331;RANI3;12.44
332;RAPT3;8.01
333;RAPT4;15.03
334;RCSL4;16.33
335;RDNI3;15.19
336;RDOR3;6.94
337;RECV3;15.84
338;REDE3;1.74
339;RENT3;10.22
340;RNEW11;15.75
341;RNEW3;16.05
342;RNEW4;18.46
343;ROMI3;0.33
344;RPAD3;-0.15
345;RPAD5;3.09
346;RPAD6;3.01
347;RPMG3;54.78
348;RRRP3;3.82
349;RSID3;46.3
350;RSUL4;-1.13
351;SANB11;2.5
352;SANB3;3.62
353;SANB4;1.97
354;SAPR11;4.01
355;SAPR3;2.32
356;SAPR4;5.04
357;SBFG3;35.41
358;SCAR3;9.37
359;SEER3;41.71
360;SEQL3;1.05
361;SGPS3;92.28
362;SHOW3;59.67
363;SHUL4;9.52
364;SIMH3;7.63
365;SLCE3;16.47
366;SLED3;-8.07
367;SLED4;124.34
368;SMFT3;23.1
369;SMTO3;-3.82
370;SNSY5;24.38
371;SOJA3;3.8
372;SOMA3;19.05
373;SOND5;12.5
374;SOND6;8.19
375;SQIA3;14.99
376;STBP3;3.4
377;SUZB3;1.25
378;SYNE3;13.09
379;TAEE11;-1.09
380;TAEE3;0.34
381;TAEE4;0.03
382;TASA3;3.55
383;TASA4;4.07
384;TCNO3;0.0
385;TCNO4;0.0
386;TCSA3;22.05
387;TECN3;22.04
388;TEKA3;0.0
389;TEKA4;40.73
390;TELB3;-25.87
391;TELB4;-20.42
392;TEND3;57.75
393;TFCO4;18.96
394;TGMA3;-1.17
395;TIMS3;-0.35
396;TKNO4;16.17
397;TOTS3;2.71
398;TPIS3;29.45
399;TRAD3;64.63
400;TRIS3;32.65
401;TRPL3;11.35
402;TRPL4;1.59
403;TTEN3;10.29
404;TUPY3;3.43
405;TXRX3;3.45
406;TXRX4;27.5
407;UCAS3;10.82
408;UNIP3;15.87
409;UNIP5;9.14
410;UNIP6;14.57
411;USIM3;6.03
412;USIM5;3.62
413;USIM6;10.45
414;VALE3;1.36
415;VAMO3;-8.43
416;VBBR3;8.51
417;VSTE3;8.47
418;VIIA3;-8.64
419;VITT3;7.14
420;VIVA3;18.0
421;VIVR3;-8.99
422;VIVT3;0.73
423;VLID3;3.31
424;VULC3;11.43
425;VVEO3;19.45
426;WEGE3;-5.05
427;WEST3;44.83
428;WHRL3;5.8
429;WHRL4;4.37
430;WIZS3;0.0
431;WLMM3;0.0
432;WLMM4;-15.8
433;YDUQ3;39.24
