;Papel;Total_Acumulado
223;IFCM3;79.19
224;IGBR3;0.0
225;INEP3;-0.62
226;INEP4;-3.45
227;INTB3;-3.06
228;IRBR3;56.47
229;ITSA3;14.89
230;ITSA4;15.6
231;ITUB3;19.19
232;ITUB4;16.5
233;JALL3;4.13
234;JBSS3;5.84
235;JHSF3;39.68
236;JOPA3;-4.08
237;JOPA4;-3.76
238;JSLG3;23.26
239;KEPL3;29.7
240;KLBN11;13.67
241;KLBN3;12.83
242;KLBN4;14.0
243;KRSA3;10.73
244;LAVV3;35.78
245;LEVE3;42.66
246;LIGT3;88.85
247;LIPR3;4.68
248;LJQQ3;53.47
249;LOGG3;38.73
250;LOGN3;29.21
251;LPSB3;51.01
252;LREN3;31.33
253;LUPA3;-1.8
254;LUXM4;10.88
255;LVTC3;15.18
256;LWSA3;47.89
257;MAPT4;0.0
258;MATD3;27.47
259;MBLY3;87.34
260;MDIA3;39.75
261;MDNE3;67.96
262;MEAL3;30.4
263;MELK3;25.52
264;MERC3;99801.23
265;MERC4;25.94
266;MGEL4;28.22
267;MGLU3;-6.16
268;MILS3;35.36
269;MLAS3;48.44
270;MNDL3;23.15
271;MNPR3;37.69
272;MOAR3;17.76
273;MOVI3;28.88
274;MRFG3;13.17
275;MRSA3B;0.0
276;MRSA5B;0.0
277;MRVE3;62.31
278;MSPA3;0.0
279;MTRE3;78.65
280;MTSA4;19.02
281;MULT3;4.81
282;MWET3;-55.7
283;MWET4;10.76
284;MYPK3;9.9
285;NEOE3;34.89
286;NGRD3;30.97
287;NINJ3;39.53
288;NORD3;18.24
289;NTCO3;44.79
290;NUTR3;-45.17
291;ODPV3;27.7
292;OFSA3;3.22
293;OIBR3;-2.12
294;OIBR4;-6.24
295;ONCO3;17.75
296;OPCT3;52.68
297;ORVR3;16.86
298;OSXB3;16.59
299;PARD3;0.0
300;PATI3;-24.11
301;PATI4;-21.87
302;PCAR3;41.46
303;PDGR3;36.05
304;PDTC3;8.63
305;PEAB3;11.88
306;PEAB4;26.73
307;PETR3;32.08
308;PETR4;32.29
309;PETZ3;23.52
310;PFRM3;23.97
311;PGMN3;40.14
312;PINE4;75.76
313;PLAS3;5.35
314;PLPL3;45.65
315;PMAM3;17.0
316;PNVL3;24.94
317;POMO3;33.6
318;POMO4;27.5
319;PORT3;30.0
320;POSI3;34.79
321;PRIO3;19.68
322;PRNR3;21.6
323;PSSA3;25.74
324;PTBL3;35.13
325;PTNT3;19.63
326;PTNT4;10.94
327;QUAL3;23.19
328;RADL3;12.11
329;RAIL3;13.94
330;RAIZ4;29.29
331;RANI3;20.7
332;RAPT3;26.07
333;RAPT4;34.53
334;RCSL4;12.97
335;RDNI3;21.09
336;RDOR3;33.84
337;RECV3;12.19
338;REDE3;13.86
339;RENT3;20.79
340;RNEW11;21.3
341;RNEW3;19.22
342;RNEW4;18.16
343;ROMI3;16.16
344;RPAD3;10.62
345;RPAD5;9.66
346;RPAD6;3.82
347;RPMG3;70.42
348;RRRP3;9.38
349;RSID3;51.29
350;RSUL4;-7.22
351;SANB11;10.37
352;SANB3;13.6
353;SANB4;8.88
354;SAPR11;11.74
355;SAPR3;11.13
356;SAPR4;13.1
357;SBFG3;62.26
358;SCAR3;23.93
359;SEER3;72.56
360;SEQL3;4.76
361;SGPS3;98.29
362;SHOW3;88.81
363;SHUL4;36.97
364;SIMH3;30.41
365;SLCE3;10.94
366;SLED3;-6.11
367;SLED4;128.31
368;SMFT3;36.23
369;SMTO3;13.26
370;SNSY5;30.8
371;SOJA3;5.05
372;SOMA3;38.76
373;SOND5;33.24
374;SOND6;8.19
375;SQIA3;38.87
376;STBP3;20.06
377;SUZB3;12.36
378;SYNE3;21.96
379;TAEE11;4.2
380;TAEE3;5.41
381;TAEE4;5.31
382;TASA3;1.66
383;TASA4;2.73
384;TCNO3;0.0
385;TCNO4;0.0
386;TCSA3;31.56
387;TECN3;27.0
388;TEKA3;0.0
389;TEKA4;38.76
390;TELB3;36.28
391;TELB4;31.35
392;TEND3;72.72
393;TFCO4;29.07
394;TGMA3;15.28
395;TIMS3;2.45
396;TKNO4;16.15
397;TOTS3;16.96
398;TPIS3;34.8
399;TRAD3;70.35
400;TRIS3;61.38
401;TRPL3;14.53
402;TRPL4;6.01
403;TTEN3;19.55
404;TUPY3;19.09
405;TXRX3;3.45
406;TXRX4;29.48
407;UCAS3;17.49
408;UNIP3;26.46
409;UNIP5;4.94
410;UNIP6;26.67
411;USIM3;10.17
412;USIM5;6.58
413;USIM6;7.31
414;VALE3;-1.44
415;VAMO3;12.11
416;VBBR3;34.53
417;VSTE3;15.89
418;VIIA3;15.2
419;VITT3;11.01
420;VIVA3;36.7
421;VIVR3;-6.76
422;VIVT3;3.78
423;VLID3;26.38
424;VULC3;23.47
425;VVEO3;27.2
426;WEGE3;-5.62
427;WEST3;41.64
428;WHRL3;5.84
429;WHRL4;7.25
430;WIZS3;0.0
431;WLMM3;0.0
432;WLMM4;9.75
433;YDUQ3;90.83
